model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.025103311985731125,0.03208998218178749,-0.13731516361236573,-0.08448334336280823,-0.11885851621627808,-0.013945400714874268,-0.0,0.6291234684260132,-0.025103311985731125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.02492811344563961,0.03212015703320503,-0.13806303784251214,-0.08590377122163773,-0.11730914562940598,-0.015381583478301764,0.006374576408416032,0.797832233741753,-0.025103311985731125,0.00046107289381325245,0.00028587671113200486,0.035618435591459274,0.6902719736099243,0.2566879391670227,0.6902719736099243,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.024910129606723785,0.031576331704854965,-0.13611780613660812,-0.08538675643503665,-0.11627883464097977,-0.014818201307207346,0.004651929182000458,0.8105560791705938,-0.025103311985731125,0.000329150672769174,0.0001359709131065756,0.016970178112387657,0.6402719616889954,0.2520642578601837,0.6402719616889954,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.023097975179553032,0.02853785641491413,-0.11231029868125915,-0.0777220606803894,-0.10312295705080032,-0.014392077922821045,0.0,0.6167400881057269,-0.023097975179553032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.022730683907866478,0.027821647003293037,-0.11730342254042625,-0.07360151410102844,-0.09914311021566391,-0.014668774325400591,0.005069408379495126,0.8281938325991189,-0.023097975179553032,0.0006536194705404341,0.00028632613248191774,0.03564300760626793,0.6281219720840454,0.25639498233795166,0.6443529725074768,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.022663328796625137,0.027449944987893105,-0.11565656922757625,-0.0756688505411148,-0.09881838411092758,-0.01453102845698595,0.004220625991001722,0.8303964757709251,-0.023097975179553032,0.0005705083021894097,0.00013586039131041616,0.016934506595134735,0.5781219601631165,0.2520100176334381,0.5943529605865479,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.024232489988207817,0.030362827703356743,-0.1248724639415741,-0.0804828405380249,-0.10932158678770065,-0.013207614421844482,0.0,0.6359649122807017,-0.024232489988207817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.024066543206572533,0.0298417080193758,-0.1170963253825903,-0.08320805057883263,-0.10559983551502228,-0.01479654386639595,0.006346212583594024,0.8267543859649122,-0.024232489988207817,0.0004516290791798383,0.00028568017296493053,0.03558596223592758,0.6351810097694397,0.2571134865283966,0.6902719736099243,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.023979727178812027,0.029421823099255562,-0.1180479045957327,-0.0819968543946743,-0.10502661019563675,-0.01493653329089284,0.004251619451679289,0.8048245614035088,-0.024232489988207817,0.0003862947633024305,0.00013353001850191504,0.016662590205669403,0.5851809978485107,0.25230634212493896,0.6402719616889954,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.024940000846982002,0.030710643157362938,-0.13328635677695275,-0.08192042224109172,-0.11525081098079681,-0.013473555911332369,-0.0003068290126975626,0.9976437323279924,-0.025103311985731125,0.0003402040747459978,0.00017689527885522693,0.016328589990735054,0.03759300708770752,0.16093884408473969,0.6531098484992981,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/XLF_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,203.0,0.08953975324053318,val_loss,0.014169671572744846,0.13268674910068512,0.0,0.0,2122.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.022976482287049294,0.027271045371890068,-0.10871386125683785,-0.07543020695447922,-0.10002072155475616,-0.01401902874931693,-0.0002869799951440656,0.9977973568281938,-0.023097975179553032,0.00029684114269912243,0.0001753484975779429,0.01631254144012928,0.03720182180404663,0.1608196198940277,0.6494890451431274,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/XLF_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,203.0,0.08953975324053318,val_loss,0.014169671572744846,0.13268674910068512,0.0,0.0,454.0,20.0,2.0,,,,,,
